UserID,FirstName,LastName,DateOfBirth,Sex,Street,City,LicensePlate,Married,NumberPets,Duration,Amount,InstallmentRatePercentage,ResidenceDuration,NumberExistingCredits,NumberPeopleMaintenance,OwnCar,ForeignWorker,CheckingAccountStatus.lt.0,CheckingAccountStatus.0.to.200,CheckingAccountStatus.gt.200,CheckingAccountStatus.none,CreditHistory.NoCredit.AllPaid,CreditHistory.ThisBank.AllPaid,CreditHistory.PaidDuly,CreditHistory.Delay,CreditHistory.Critical,Purpose.NewCar,Purpose.UsedCar,Purpose.Furniture.Equipment,Purpose.Radio.Television,Purpose.DomesticAppliance,Purpose.Repairs,Purpose.Education,Purpose.Vacation,Purpose.Retraining,Purpose.Business,Purpose.Other,OtherDebtorsGuarantors.None,OtherDebtorsGuarantors.CoApplicant,OtherDebtorsGuarantors.Guarantor,Property.RealEstate,Property.Insurance,Property.CarOther,Property.Unknown,OtherInstallmentPlans.Bank,OtherInstallmentPlans.Stores,OtherInstallmentPlans.None,Housing.Rent,Housing.Own,Housing.ForFree,Job.UnemployedUnskilled,Job.UnskilledResident,Job.SkilledEmployee,Job.Management.SelfEmp.HighlyQualified,EmploymentDuration,SavingsAccountBonds,BadCredit
827-84-8667,Cynthia,Foster,1996-10-30,F,5107 Charles Forest Suite 251,New Roberttown,42L 7849,1.0,1.0,12,2331,3,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.0,0.0,1
867-07-1513,Aimee,Montoya,1998-02-23,F,124 Pamela Summit Apt. 449,New Roberttown,5W 34874,1.0,0.0,48,7754,3,4,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.0,0.0,1
566-19-7042,Madison,Calderon,1999-05-14,F,52427 Hoffman Creek,Lisatown,WER-059,1.0,0.0,12,2821,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,3.0,0.0,0
184-95-5443,Cameron,Parker,1961-06-29,M,3315 Dickson Summit,East Jill,HFZ 260,0.0,2.0,24,2158,4,4,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,11.0,0.0,1
409-43-4565,Rachel,Jenkins,1994-04-25,F,2160 Walker Viaduct,East Jill,43L•303,1.0,2.0,15,2525,2,4,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,4.0,0.0,0
621-66-1895,Sharon,Rasmussen,1988-12-07,F,8685 Darrell Green Apt. 940,North Noahstad,TNL X56,1.0,0.0,24,2308,4,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4.0,140.0,1
714-38-9084,James,Ray,1967-11-27,M,60883 Reynolds Shores Suite 951,North Judithbury,4JQ 656,0.0,1.0,24,4363,4,4,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,16.0,370.0,0
453-87-3502,Cameron,Fisher,1995-10-25,M,299 Sullivan Village Apt. 443,Herrerafurt,9-Z9577,0.0,0.0,30,14530,2,3,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.0,71.0,0
251-61-1194,Kayla,Leon,1978-04-27,F,148 Davis Terrace,Robinsonshire,3V 3200J,1.0,2.0,24,22642,4,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.0,0.0,1
476-07-9133,Jesus,Mercado,1990-08-17,M,676 Dylan Spurs,Robinsonshire,1YY6328,0.0,0.0,24,6174,3,2,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,10.0,943.0,0
497-81-3920,David,Charles,1974-03-02,M,78895 Salazar Stravenue Suite 872,North Judithbury,348-POI,0.0,1.0,9,3841,4,4,3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,3.0,0.0,0
399-99-9570,Donald,Jones,1977-03-05,M,45581 Edward Lights Apt. 316,Jacquelineland,8-76036K,0.0,2.0,6,4765,2,3,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,3.0,583.0,0
861-60-2092,Tracy,Smith,1973-05-30,M,0546 Medina Street Apt. 734,North Judithbury,0-P6562,0.0,1.0,10,4034,1,3,2,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0.0,0
771-54-4134,William,Ferguson,1977-11-10,M,901 Taylor Mountain Apt. 046,North Judithbury,5564 GO,0.0,2.0,12,3247,3,4,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0.0,236.0,0
224-60-4199,Ruben,Ruiz,1994-06-20,M,3100 James Brooks,North Judithbury,E27-19H,1.0,2.0,10,3724,2,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0,175.0,0
816-73-0673,Randall,Jackson,1984-12-11,M,41904 Sanders Stravenue,East Jessetown,C 931491,0.0,2.0,6,2473,1,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2.0,0.0,0
477-56-9708,Gregory,Patterson,1982-12-26,M,85067 Ryan Lake Suite 262,West Michael,QUI 987,1.0,1.0,6,767,4,4,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,13.0,0.0,0
287-77-4527,Debra,Christian,1979-09-09,F,7379 Rogers Park,North Judithbury,3545 FP,1.0,2.0,12,736,3,3,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2.0,1701.0,0
709-32-5017,Justin,Black,1987-07-13,M,36783 Brewer Overpass,East Jill,14-ZA36,0.0,0.0,7,4347,3,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2.0,0.0,0
757-62-4531,Matthew,Wood,1959-05-16,M,8557 Parker Fort Apt. 351,North Judithbury,233-RYW,0.0,1.0,60,12305,3,4,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,13.0,0.0,1
292-61-7844,Nathaniel,Bray,1985-09-09,M,34352 Smith Place Apt. 400,Robinsonshire,JWE-7109,1.0,0.0,18,3443,3,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.0,1216.0,0
088-32-1941,Jeremiah,Lopez,1993-11-05,M,7116 Jones Roads,New Roberttown,2B294,0.0,2.0,24,7236,2,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,3.0,0.0,0
641-28-4336,Justin,Butler,1991-11-04,M,677 Dalton Meadow,North Judithbury,913 STB,0.0,2.0,18,10559,2,2,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4.0,302.0,0
073-88-3825,Matthew,Moore,1963-08-27,M,120 Hayes Ranch,Lake Debra,J47-BHJ,0.0,1.0,12,2275,4,4,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,9.0,271.0,0
128-60-4983,Tammy,French,1989-01-18,F,1832 Serrano Cliffs,North Judithbury,9FZJ947,1.0,0.0,12,2653,4,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.0,0.0,0
482-67-7246,Michael,Bender,1995-11-11,M,1906 Munoz Burg Apt. 399,Lake Debra,902 YVI,0.0,2.0,45,8543,4,2,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0.0,0.0,1
466-12-5154,Thomas,White,1990-09-13,M,717 Ortiz Islands Apt. 256,East Jill,PJV 680,0.0,2.0,48,10998,1,3,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,4.0,0.0,0
449-90-7942,David,Wilson,1983-10-22,M,087 Brown Path Suite 977,Lisatown,3-4824B,0.0,1.0,18,3780,4,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,3.0,0.0,1
723-35-6808,Bryan,Dudley,1984-10-29,M,248 Andrea Course,North Judithbury,2D OD748,0.0,0.0,10,2205,2,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4.0,0.0,0
858-76-9502,Ruben,Baird,1998-03-06,M,8263 Michelle Harbor,Lake Roberto,65-84044,0.0,0.0,9,824,4,3,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0
877-53-0716,Zachary,Burns,1992-01-04,M,8755 Gibson Islands,North Noahstad,MWH 963,0.0,2.0,30,4199,4,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,9.0,905.0,0
347-80-6513,Evan,Kennedy,1994-07-12,M,2702 Kane Well Suite 187,North Judithbury,62XE174,0.0,1.0,12,2084,3,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0,697.0,0
030-06-5315,Matthew,Christian,1977-05-18,M,7809 Jimmy Spur Suite 316,North Judithbury,YU-1724,0.0,2.0,18,11167,2,4,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4.0,0.0,0
683-02-7623,Robert,Carter,1996-12-13,M,2386 George Common Suite 937,New Kellystad,7EH 474,1.0,1.0,30,11137,1,4,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,4.0,448.0,0
589-38-4838,Stephanie,Byrd,1964-02-19,F,75946 Bryant Hollow,North Judithbury,M 713695,1.0,2.0,48,11057,4,4,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,15.0,0.0,1
317-57-0547,Alison,Greer,1986-09-10,F,0909 Wall Heights Apt. 953,East Jill,G21 0TI,1.0,2.0,11,2507,4,4,2,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0
826-38-5550,Kevin,Oconnor,1982-06-28,M,5623 Kristin Wells,New Roberttown,42Q Q47,0.0,0.0,36,4138,4,4,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,11.0,722.0,0
843-82-6087,Regina,Mcdonald,1998-12-28,F,36851 Smith Plain,North Judithbury,O49 6LV,1.0,1.0,6,2434,1,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,,501.0,0
505-15-1593,Brian,Hall,1982-09-15,M,859 Deborah Roads,New Kellystad,461 2004,0.0,2.0,11,13010,1,4,2,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2.0,0.0,0
456-31-5943,Cynthia,Medina,1993-01-05,F,5869 Nicole Shoal Apt. 796,East Jessetown,537BW,1.0,0.0,12,3731,4,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,3.0,427.0,0
601-28-3818,Brett,Jennings,1992-01-06,M,64317 Elizabeth Row Apt. 053,Robinsonshire,318 3ZS,0.0,2.0,24,4199,4,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0.0,203.0,0
603-42-0259,Gary,Hernandez,1992-01-04,M,2284 Daniel Way,Lake Debra,2053,0.0,1.0,27,10737,1,2,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,9.0,0.0,0
659-04-0997,Christopher,Williams,1995-12-03,M,117 Strickland Passage Apt. 783,Lake Debra,84B XZ7,0.0,2.0,12,2272,3,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0
544-38-7434,Zachary,Boone,1989-10-04,M,177 Rachel Islands Apt. 124,Lake Debra,U85-69S,0.0,1.0,18,6080,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,4.0,19.0,0
321-86-4177,Jonathan,Jordan,1965-02-21,M,836 Beasley Loop,East Jill,1OMN 56,0.0,1.0,36,4005,4,4,2,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,11.0,0.0,1
615-40-5762,James,Hernandez,1995-10-06,M,11161 Cain Point Apt. 988,Herrerafurt,6VD5604,0.0,0.0,6,1409,1,2,1,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2.0,580.0,0
786-80-9122,Brian,Romero,1970-03-26,M,731 Bruce Land,Lake Debra,368 YIS,0.0,0.0,12,11642,2,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,,497.0,1
162-48-5106,Allison,Hickman,1991-03-31,F,24455 Howard Divide Suite 120,North Noahstad,836675,1.0,2.0,36,17219,2,2,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2.0,0.0,0
117-45-7044,Mikayla,Frank,1999-01-27,F,22901 Ramos Manors,Lisatown,TON-438,1.0,2.0,18,3530,3,2,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,14.0,0.0,0
765-56-2879,Ashley,Gregory,1997-11-22,F,403 Joyce Centers Apt. 343,East Jill,24-45107,1.0,0.0,36,11212,4,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0.0,0.0,1
588-52-6844,Carl,Patel,1994-09-10,M,851 Hensley Canyon,Lake Debra,7-A1596,1.0,2.0,9,2504,2,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4.0,0.0,0
523-82-1869,Dylan,Sullivan,1971-11-10,M,97516 John Radial Suite 816,North Judithbury,521 XKH,0.0,2.0,15,2767,4,4,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,10.0,319.0,0
155-57-1119,Joseph,Lee,1960-05-04,M,2312 Gonzalez Rapids Apt. 127,North Judithbury,997 9955,0.0,2.0,36,3515,4,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,12.0,0.0,1
474-75-9082,John,Welch,1996-03-16,M,058 Lance Mission Apt. 054,North Judithbury,UCT-986,0.0,2.0,48,25958,2,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4.0,0.0,1
041-32-7173,Tiffany,Stevenson,1996-02-05,F,9359 Mason Circle,East Jill,51-DZ82,1.0,0.0,24,5726,4,4,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0.0,0.0,0
291-33-9875,William,Warren,1973-10-26,M,5466 Shelton Center,North Judithbury,UKC-5186,0.0,0.0,27,9342,4,4,4,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,12.0,21.0,0
521-47-0299,Shelley,Cook,1991-10-15,F,4629 Kyle Lane,Lisatown,Z81 6KE,1.0,2.0,12,3908,2,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.0,0.0,0
898-99-2148,Jack,White,1999-10-15,M,7332 Chris Vista,East Jessetown,QY-8805,1.0,2.0,12,1813,4,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2.0,1007.0,0
547-31-5071,Kyle,Moore,1985-03-30,M,927 Robert Springs,New Roberttown,9HO 473,0.0,2.0,36,3274,4,4,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1.0,0.0,1
054-83-7874,Tracie,Mueller,1996-10-16,F,9774 Shaw Manor,North Judithbury,HGZ 924,1.0,0.0,36,4309,4,4,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0,338.0,0
358-04-6798,Shelly,Spencer,1992-03-28,F,814 Kathryn Groves,East Jill,61-QE37,1.0,2.0,36,14639,1,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2.0,0.0,0
294-61-2274,Anthony,Shaw,1975-09-01,M,1530 Galvan Villages,North Judithbury,220-UKZ,0.0,2.0,7,1314,4,2,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,14.0,219.0,0
065-15-8190,Peter,Harrison,1969-12-09,M,04328 Rodriguez Heights,Robinsonshire,0J 3697D,0.0,0.0,8,2095,3,4,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,16.0,0.0,0
539-70-8313,Linda,Smith,1979-10-30,F,246 Christina Garden,Lisatown,185 1NF,1.0,1.0,42,10717,2,1,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5.0,0.0,0
137-06-5773,Richard,Romero,1981-02-12,M,7065 Burgess Knolls,Robinsonshire,195-LHX,0.0,1.0,36,3559,4,4,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,10.0,96.0,1
324-40-8445,Joshua,Li,1956-03-10,M,772 Bryan Trail,New Jessica,43B•030,0.0,2.0,12,2747,4,4,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,13.0,0.0,0
709-64-6019,James,Ochoa,1987-06-13,M,0345 Michelle Isle Suite 156,East Jessetown,XO2 M7K,0.0,1.0,42,7137,4,3,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0,0.0,1
618-92-6982,Tim,Stone,1970-04-20,M,616 Amy Islands,New Roberttown,CKV J47,0.0,1.0,11,8588,2,4,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,4.0,0.0,0
242-83-6002,Christopher,Wallace,1981-07-22,M,59640 Emily Lodge Suite 820,North Judithbury,TV 7021,0.0,2.0,54,16985,2,2,1,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1.0,62.0,0
256-15-0425,Jack,Herring,1999-04-21,M,275 Wallace Club,East Jill,565 4EQ,1.0,2.0,30,6898,2,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0.0,0.0,0
