UserID,FirstName,LastName,DateOfBirth,Sex,Street,City,LicensePlate,Married,NumberPets,Duration,Amount,InstallmentRatePercentage,ResidenceDuration,NumberExistingCredits,NumberPeopleMaintenance,OwnCar,ForeignWorker,EmploymentDuration,SavingsAccountBonds,BadCredit,Purpose,Property,Job,Housing,OtherDebtorsGuarantors,CreditHistory,CheckingAccountStatus,OtherInstallmentPlans
827-84-8667,Cynthia,Foster,1996-10-30,F,5107 Charles Forest Suite 251,New Roberttown,42L 7849,yes,1.0,12,2331,3,1,1,1,yes,yes,0.0,0.0,1,Purpose.NewCar,Property.CarOther,Job.SkilledEmployee,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
867-07-1513,Aimee,Montoya,1998-02-23,F,124 Pamela Summit Apt. 449,New Roberttown,5W 34874,yes,0.0,48,7754,3,4,1,1,yes,yes,0.0,0.0,1,Purpose.Business,Property.Insurance,Job.SkilledEmployee,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
566-19-7042,Madison,Calderon,1999-05-14,F,52427 Hoffman Creek,Lisatown,WER-059,yes,0.0,12,2821,1,1,1,1,no,yes,3.0,0.0,0,Purpose.Radio.Television,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
184-95-5443,Cameron,Parker,1961-06-29,M,3315 Dickson Summit,East Jill,HFZ 260,no,2.0,24,2158,4,4,2,1,yes,yes,11.0,0.0,1,Purpose.NewCar,Property.CarOther,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
409-43-4565,Rachel,Jenkins,1994-04-25,F,2160 Walker Viaduct,East Jill,43L•303,yes,2.0,15,2525,2,4,1,1,yes,yes,4.0,0.0,0,Purpose.NewCar,Property.CarOther,Job.SkilledEmployee,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
621-66-1895,Sharon,Rasmussen,1988-12-07,F,8685 Darrell Green Apt. 940,North Noahstad,TNL X56,yes,0.0,24,2308,4,2,1,1,yes,yes,4.0,140.0,1,Purpose.Radio.Television,Property.CarOther,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
714-38-9084,James,Ray,1967-11-27,M,60883 Reynolds Shores Suite 951,North Judithbury,4JQ 656,no,1.0,24,4363,4,4,2,1,yes,yes,16.0,370.0,0,Purpose.Radio.Television,Property.Insurance,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.none,OtherInstallmentPlans.None
453-87-3502,Cameron,Fisher,1995-10-25,M,299 Sullivan Village Apt. 443,Herrerafurt,9-Z9577,no,0.0,30,14530,2,3,3,1,yes,yes,0.0,71.0,0,Purpose.Business,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.NoCredit.AllPaid,CheckingAccountStatus.lt.0,OtherInstallmentPlans.Bank
251-61-1194,Kayla,Leon,1978-04-27,F,148 Davis Terrace,Robinsonshire,3V 3200J,yes,2.0,24,22642,4,2,1,1,no,yes,10.0,0.0,1,Purpose.UsedCar,Property.Unknown,Job.Management.SelfEmp.HighlyQualified,Housing.ForFree,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
476-07-9133,Jesus,Mercado,1990-08-17,M,676 Dylan Spurs,Robinsonshire,1YY6328,no,0.0,24,6174,3,2,1,2,no,yes,10.0,943.0,0,Purpose.Radio.Television,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
497-81-3920,David,Charles,1974-03-02,M,78895 Salazar Stravenue Suite 872,North Judithbury,348-POI,no,1.0,9,3841,4,4,3,1,no,yes,3.0,0.0,0,Purpose.NewCar,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.none,OtherInstallmentPlans.None
399-99-9570,Donald,Jones,1977-03-05,M,45581 Edward Lights Apt. 316,Jacquelineland,8-76036K,no,2.0,6,4765,2,3,1,2,yes,yes,3.0,583.0,0,Purpose.Radio.Television,Property.RealEstate,Job.SkilledEmployee,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
861-60-2092,Tracy,Smith,1973-05-30,M,0546 Medina Street Apt. 734,North Judithbury,0-P6562,no,1.0,10,4034,1,3,2,2,yes,no,0.0,0.0,0,Purpose.NewCar,Property.RealEstate,Job.UnskilledResident,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
771-54-4134,William,Ferguson,1977-11-10,M,901 Taylor Mountain Apt. 046,North Judithbury,5564 GO,no,2.0,12,3247,3,4,1,1,yes,yes,0.0,236.0,0,Purpose.UsedCar,Property.Insurance,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
224-60-4199,Ruben,Ruiz,1994-06-20,M,3100 James Brooks,North Judithbury,E27-19H,yes,2.0,10,3724,2,1,2,1,yes,no,1.0,175.0,0,Purpose.Furniture.Equipment,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.none,OtherInstallmentPlans.None
816-73-0673,Randall,Jackson,1984-12-11,M,41904 Sanders Stravenue,East Jessetown,C 931491,no,2.0,6,2473,1,2,1,1,no,yes,2.0,0.0,0,Purpose.Furniture.Equipment,Property.RealEstate,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.lt.0,OtherInstallmentPlans.Bank
477-56-9708,Gregory,Patterson,1982-12-26,M,85067 Ryan Lake Suite 262,West Michael,QUI 987,yes,1.0,6,767,4,4,1,1,yes,yes,13.0,0.0,0,Purpose.Radio.Television,Property.CarOther,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.NoCredit.AllPaid,CheckingAccountStatus.none,OtherInstallmentPlans.None
287-77-4527,Debra,Christian,1979-09-09,F,7379 Rogers Park,North Judithbury,3545 FP,yes,2.0,12,736,3,3,2,1,yes,yes,2.0,1701.0,0,Purpose.Radio.Television,Property.RealEstate,Job.SkilledEmployee,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.ThisBank.AllPaid,CheckingAccountStatus.gt.200,OtherInstallmentPlans.None
709-32-5017,Justin,Black,1987-07-13,M,36783 Brewer Overpass,East Jill,14-ZA36,no,0.0,7,4347,3,2,1,1,yes,yes,2.0,0.0,0,Purpose.Radio.Television,Property.RealEstate,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.Guarantor,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
757-62-4531,Matthew,Wood,1959-05-16,M,8557 Parker Fort Apt. 351,North Judithbury,233-RYW,no,1.0,60,12305,3,4,2,1,no,yes,13.0,0.0,1,Purpose.Business,Property.Unknown,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Delay,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
292-61-7844,Nathaniel,Bray,1985-09-09,M,34352 Smith Place Apt. 400,Robinsonshire,JWE-7109,yes,0.0,18,3443,3,3,1,1,no,yes,0.0,1216.0,0,Purpose.Business,Property.RealEstate,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.Bank
088-32-1941,Jeremiah,Lopez,1993-11-05,M,7116 Jones Roads,New Roberttown,2B294,no,2.0,24,7236,2,2,1,1,yes,yes,3.0,0.0,0,Purpose.Furniture.Equipment,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.lt.0,OtherInstallmentPlans.Stores
641-28-4336,Justin,Butler,1991-11-04,M,677 Dalton Meadow,North Judithbury,913 STB,no,2.0,18,10559,2,2,2,1,no,yes,4.0,302.0,0,Purpose.NewCar,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
073-88-3825,Matthew,Moore,1963-08-27,M,120 Hayes Ranch,Lake Debra,J47-BHJ,no,1.0,12,2275,4,4,1,1,yes,yes,9.0,271.0,0,Purpose.Business,Property.Unknown,Job.UnskilledResident,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.none,OtherInstallmentPlans.None
128-60-4983,Tammy,French,1989-01-18,F,1832 Serrano Cliffs,North Judithbury,9FZJ947,yes,0.0,12,2653,4,1,1,1,no,yes,0.0,0.0,0,Purpose.Furniture.Equipment,Property.Insurance,Job.Management.SelfEmp.HighlyQualified,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.gt.200,OtherInstallmentPlans.Bank
482-67-7246,Michael,Bender,1995-11-11,M,1906 Munoz Burg Apt. 399,Lake Debra,902 YVI,no,2.0,45,8543,4,2,2,1,yes,yes,0.0,0.0,1,Purpose.Radio.Television,Property.Insurance,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
466-12-5154,Thomas,White,1990-09-13,M,717 Ortiz Islands Apt. 256,East Jill,PJV 680,no,2.0,48,10998,1,3,1,1,no,yes,4.0,0.0,0,Purpose.Education,Property.Unknown,Job.SkilledEmployee,Housing.ForFree,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.none,OtherInstallmentPlans.Bank
449-90-7942,David,Wilson,1983-10-22,M,087 Brown Path Suite 977,Lisatown,3-4824B,no,1.0,18,3780,4,2,1,1,yes,yes,3.0,0.0,1,Purpose.Radio.Television,Property.RealEstate,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.CoApplicant,CreditHistory.PaidDuly,CheckingAccountStatus.gt.200,OtherInstallmentPlans.Stores
723-35-6808,Bryan,Dudley,1984-10-29,M,248 Andrea Course,North Judithbury,2D OD748,no,0.0,10,2205,2,2,1,1,no,yes,4.0,0.0,0,Purpose.DomesticAppliance,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.gt.200,OtherInstallmentPlans.None
858-76-9502,Ruben,Baird,1998-03-06,M,8263 Michelle Harbor,Lake Roberto,65-84044,no,0.0,9,824,4,3,1,1,yes,yes,1.0,0.0,0,Purpose.Radio.Television,Property.RealEstate,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
877-53-0716,Zachary,Burns,1992-01-04,M,8755 Gibson Islands,North Noahstad,MWH 963,no,2.0,30,4199,4,2,1,1,yes,yes,9.0,905.0,0,Purpose.Radio.Television,Property.CarOther,Job.Management.SelfEmp.HighlyQualified,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.Bank
347-80-6513,Evan,Kennedy,1994-07-12,M,2702 Kane Well Suite 187,North Judithbury,62XE174,no,1.0,12,2084,3,1,1,1,no,yes,1.0,697.0,0,Purpose.Radio.Television,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
030-06-5315,Matthew,Christian,1977-05-18,M,7809 Jimmy Spur Suite 316,North Judithbury,YU-1724,no,2.0,18,11167,2,4,1,2,no,yes,4.0,0.0,0,Purpose.Repairs,Property.RealEstate,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Delay,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
683-02-7623,Robert,Carter,1996-12-13,M,2386 George Common Suite 937,New Kellystad,7EH 474,yes,1.0,30,11137,1,4,2,1,yes,yes,4.0,448.0,0,Purpose.UsedCar,Property.CarOther,Job.SkilledEmployee,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
589-38-4838,Stephanie,Byrd,1964-02-19,F,75946 Bryant Hollow,North Judithbury,M 713695,yes,2.0,48,11057,4,4,2,1,yes,yes,15.0,0.0,1,Purpose.UsedCar,Property.Unknown,Job.UnskilledResident,Housing.ForFree,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.lt.0,OtherInstallmentPlans.Stores
317-57-0547,Alison,Greer,1986-09-10,F,0909 Wall Heights Apt. 953,East Jill,G21 0TI,yes,2.0,11,2507,4,4,2,1,yes,yes,0.0,0.0,0,Purpose.NewCar,Property.CarOther,Job.Management.SelfEmp.HighlyQualified,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.none,OtherInstallmentPlans.None
826-38-5550,Kevin,Oconnor,1982-06-28,M,5623 Kristin Wells,New Roberttown,42Q Q47,no,0.0,36,4138,4,4,1,1,yes,yes,11.0,722.0,0,Purpose.Radio.Television,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
843-82-6087,Regina,Mcdonald,1998-12-28,F,36851 Smith Plain,North Judithbury,O49 6LV,yes,1.0,6,2434,1,2,1,1,no,yes,,501.0,0,Purpose.UsedCar,Property.Insurance,Job.UnemployedUnskilled,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
505-15-1593,Brian,Hall,1982-09-15,M,859 Deborah Roads,New Kellystad,461 2004,no,2.0,11,13010,1,4,2,1,yes,yes,2.0,0.0,0,Purpose.NewCar,Property.Insurance,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.none,OtherInstallmentPlans.None
456-31-5943,Cynthia,Medina,1993-01-05,F,5869 Nicole Shoal Apt. 796,East Jessetown,537BW,yes,0.0,12,3731,4,2,1,1,yes,yes,3.0,427.0,0,Purpose.Radio.Television,Property.RealEstate,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.CoApplicant,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
601-28-3818,Brett,Jennings,1992-01-06,M,64317 Elizabeth Row Apt. 053,Robinsonshire,318 3ZS,no,2.0,24,4199,4,2,1,1,yes,yes,0.0,203.0,0,Purpose.Furniture.Equipment,Property.Insurance,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Delay,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.Bank
603-42-0259,Gary,Hernandez,1992-01-04,M,2284 Daniel Way,Lake Debra,2053,no,1.0,27,10737,1,2,2,1,no,yes,9.0,0.0,0,Purpose.UsedCar,Property.CarOther,Job.Management.SelfEmp.HighlyQualified,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Delay,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
659-04-0997,Christopher,Williams,1995-12-03,M,117 Strickland Passage Apt. 783,Lake Debra,84B XZ7,no,2.0,12,2272,3,2,1,1,yes,yes,1.0,0.0,0,Purpose.Radio.Television,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
544-38-7434,Zachary,Boone,1989-10-04,M,177 Rachel Islands Apt. 124,Lake Debra,U85-69S,no,1.0,18,6080,2,1,1,1,no,yes,4.0,19.0,0,Purpose.UsedCar,Property.Insurance,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
321-86-4177,Jonathan,Jordan,1965-02-21,M,836 Beasley Loop,East Jill,1OMN 56,no,1.0,36,4005,4,4,2,1,no,yes,11.0,0.0,1,Purpose.NewCar,Property.Unknown,Job.SkilledEmployee,Housing.ForFree,OtherDebtorsGuarantors.None,CreditHistory.Delay,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.Bank
615-40-5762,James,Hernandez,1995-10-06,M,11161 Cain Point Apt. 988,Herrerafurt,6VD5604,no,0.0,6,1409,1,2,1,2,yes,yes,2.0,580.0,0,Purpose.NewCar,Property.RealEstate,Job.UnskilledResident,Housing.Own,OtherDebtorsGuarantors.Guarantor,CreditHistory.ThisBank.AllPaid,CheckingAccountStatus.none,OtherInstallmentPlans.Stores
786-80-9122,Brian,Romero,1970-03-26,M,731 Bruce Land,Lake Debra,368 YIS,no,0.0,12,11642,2,1,1,1,no,yes,,497.0,1,Purpose.Radio.Television,Property.Unknown,Job.Management.SelfEmp.HighlyQualified,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
162-48-5106,Allison,Hickman,1991-03-31,F,24455 Howard Divide Suite 120,North Noahstad,836675,yes,2.0,36,17219,2,2,2,1,yes,yes,2.0,0.0,0,Purpose.Radio.Television,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.none,OtherInstallmentPlans.Stores
117-45-7044,Mikayla,Frank,1999-01-27,F,22901 Ramos Manors,Lisatown,TON-438,yes,2.0,18,3530,3,2,1,1,yes,yes,14.0,0.0,0,Purpose.NewCar,Property.CarOther,Job.Management.SelfEmp.HighlyQualified,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.gt.200,OtherInstallmentPlans.None
765-56-2879,Ashley,Gregory,1997-11-22,F,403 Joyce Centers Apt. 343,East Jill,24-45107,yes,0.0,36,11212,4,4,2,1,no,yes,0.0,0.0,1,Purpose.Furniture.Equipment,Property.Unknown,Job.UnskilledResident,Housing.Rent,OtherDebtorsGuarantors.CoApplicant,CreditHistory.Critical,CheckingAccountStatus.lt.0,OtherInstallmentPlans.None
588-52-6844,Carl,Patel,1994-09-10,M,851 Hensley Canyon,Lake Debra,7-A1596,yes,2.0,9,2504,2,1,1,1,no,yes,4.0,0.0,0,Purpose.Business,Property.RealEstate,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.Bank
523-82-1869,Dylan,Sullivan,1971-11-10,M,97516 John Radial Suite 816,North Judithbury,521 XKH,no,2.0,15,2767,4,4,2,1,no,yes,10.0,319.0,0,Purpose.Radio.Television,Property.RealEstate,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.Guarantor,CreditHistory.Critical,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
155-57-1119,Joseph,Lee,1960-05-04,M,2312 Gonzalez Rapids Apt. 127,North Judithbury,997 9955,no,2.0,36,3515,4,4,1,1,no,yes,12.0,0.0,1,Purpose.Business,Property.Unknown,Job.Management.SelfEmp.HighlyQualified,Housing.ForFree,OtherDebtorsGuarantors.None,CreditHistory.NoCredit.AllPaid,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
474-75-9082,John,Welch,1996-03-16,M,058 Lance Mission Apt. 054,North Judithbury,UCT-986,no,2.0,48,25958,2,2,1,1,no,yes,4.0,0.0,1,Purpose.Business,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.NoCredit.AllPaid,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
041-32-7173,Tiffany,Stevenson,1996-02-05,F,9359 Mason Circle,East Jill,51-DZ82,yes,0.0,24,5726,4,4,1,1,no,yes,0.0,0.0,0,Purpose.Radio.Television,Property.Insurance,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
291-33-9875,William,Warren,1973-10-26,M,5466 Shelton Center,North Judithbury,UKC-5186,no,0.0,27,9342,4,4,4,2,no,yes,12.0,21.0,0,Purpose.Repairs,Property.Insurance,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
521-47-0299,Shelley,Cook,1991-10-15,F,4629 Kyle Lane,Lisatown,Z81 6KE,yes,2.0,12,3908,2,2,1,1,yes,yes,0.0,0.0,0,Purpose.Radio.Television,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.Bank
898-99-2148,Jack,White,1999-10-15,M,7332 Chris Vista,East Jessetown,QY-8805,yes,2.0,12,1813,4,1,1,1,yes,yes,2.0,1007.0,0,Purpose.NewCar,Property.RealEstate,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.0.to.200,OtherInstallmentPlans.None
547-31-5071,Kyle,Moore,1985-03-30,M,927 Robert Springs,New Roberttown,9HO 473,no,2.0,36,3274,4,4,1,1,no,yes,1.0,0.0,1,Purpose.Education,Property.Unknown,Job.SkilledEmployee,Housing.ForFree,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.Stores
054-83-7874,Tracie,Mueller,1996-10-16,F,9774 Shaw Manor,North Judithbury,HGZ 924,yes,0.0,36,4309,4,4,1,1,yes,yes,1.0,338.0,0,Purpose.Radio.Television,Property.CarOther,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.None
358-04-6798,Shelly,Spencer,1992-03-28,F,814 Kathryn Groves,East Jill,61-QE37,yes,2.0,36,14639,1,2,1,1,yes,yes,2.0,0.0,0,Purpose.UsedCar,Property.Insurance,Job.SkilledEmployee,Housing.Own,OtherDebtorsGuarantors.None,CreditHistory.PaidDuly,CheckingAccountStatus.none,OtherInstallmentPlans.Bank
294-61-2274,Anthony,Shaw,1975-09-01,M,1530 Galvan Villages,North Judithbury,220-UKZ,no,2.0,7,1314,4,2,2,1,no,yes,14.0,219.0,0,Purpose.Radio.Television,Property.Insurance,Job.UnskilledResident,Housing.Rent,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.none,OtherInstallmentPlans.None
065-15-8190,Peter,Harrison,1969-12-09,M,04328 Rodriguez Heights,Robinsonshire,0J 3697D,no,0.0,8,2095,3,4,2,2,no,yes,16.0,0.0,0,Purpose.Other,Property.Unknown,Job.Management.SelfEmp.HighlyQualified,Housing.ForFree,OtherDebtorsGuarantors.None,CreditHistory.Critical,CheckingAccountStatus.lt.0,OtherInstallmentPlans.Bank
